mz,RT,intensity,intensity_cor,species
1315,20.5,1158968,165566.8571,40
1301,20.28,1090131,155733,40
843.8,16.27,739328,105618.2857,40
1329,20.8,503635,71947.85714,40
730.7,14.83,196394,28056.28571,40
843.5,17.88,169470,24210,40
1337,20.58,157924,22560.57143,40
942.8,16.88,140093,20013.28571,40
1299,20.1,124109,17729.85714,40
744.9,7.98,107347,15335.28571,40
1337.9,20.47,106710,15244.28571,40
1300,20.1,106446,15206.57143,40
943.8,16.85,96979,13854.14286,40
731.7,14.83,91764,13109.14286,40
744.7,15.47,82849,11835.57143,40
865.5,18.14,71639,10234.14286,40
744.2,17.32,63755,9107.857143,40
843.7,18.33,48594,6942,40
1337,20.89,45897,6556.714286,40
843.8,19.57,37877,5411,40
843.8,17.24,25668,3666.857143,40
843.2,10.78,24798,3542.571429,40
866.7,18.26,24192,3456,40
1326.8,11.06,18736,2676.571429,40
843.6,17.05,16211,2315.857143,40
1325.9,20.33,15526,2218,40
1325.9,19.99,14627,2089.571429,40
843.6,18.87,13601,1943,40
843.5,18.65,11067,1581,40
1336.8,20.1,11012,1573.142857,40
401.4,18.46,27055,27055,21
407.5,19.5,24808,24808,20
631.5,19.57,45046,18018.4,8
525.3,3.06,38669,15467.6,8
558.5,7.71,26288,10515.2,8
580.3,7.71,25371,10148.4,8
1300.8,19.86,272453,272453,0
1301.8,19.86,241479,241479,0
1314.8,20.14,237046,237046,0
843.5,13.56,213973,213973,0
1315.8,20.13,199219,199219,0
1301.8,19.84,199032,199032,0
1345.8,19.85,141047,141047,0
1328.8,20.37,124269,124269,0
844.5,13.57,118537,118537,0
1346.8,19.84,108026,108026,0
1329.8,20.37,103698,103698,0
1359.8,20.11,97116,97116,0
1360.8,20.13,96430,96430,0
597.5,19.48,95714,95714,0
956.6,15.17,93723,93723,0
1302.7,19.82,91436,91436,0
1322.8,19.84,86428,86428,0
1316.7,20.1,82816,82816,0
1323.7,19.85,80437,80437,0
552.5,19.48,74790,74790,0
1336.8,20.14,73610,73610,0
857.5,14.31,73047,73047,0
730.5,11.93,68486,68486,0
1373.8,20.38,65134,65134,0
841.5,13.74,64302,64302,0
954.6,15.31,63928,63928,0
1337.8,20.08,61680,61680,0
957.6,15.14,60498,60498,0
1336.7,20.12,58912,58912,0
552.5,13.55,52000,52000,0
1374.8,20.43,51750,51750,0
514.5,12.43,51325,51325,0
956.5,15.34,50558,50558,0
744.5,12.63,50551,50551,0
631.5,19.53,50401,50401,0
858.5,14.32,48151,48151,0
1361.8,20.12,46946,46946,0
586.4,19.56,44516,44516,0
1347.8,19.86,43995,43995,0
1330.8,20.41,43808,43808,0
439.3,13.57,42388,42388,0
1350.8,20.4,40279,40279,0
1203.7,19.68,39007,39007,0
955.6,15.31,38953,38953,0
1367.7,4.2,38455,38455,0
842.5,13.69,38261,38261,0
942.6,14.23,37556,37556,0
845.5,13.55,36512,36512,0
1324.8,19.85,35851,35851,0
514.7,12.33,34104,34104,0
553.5,19.47,33264,33264,0
1316.8,20.03,31393,31393,0
326.2,13.55,31029,31029,0
1303.8,19.88,30214,30214,0
1338.7,20.18,30068,30068,0
1351.7,20.39,29934,29934,0
1298.8,19.63,29029,29029,0
708.3,6.26,28631,28631,0
251.1,12.01,28547,28547,0
730.5,12.21,28357,28357,0
1317.8,20.08,28265,28265,0
1363.4,9.87,28109,28109,0
731.5,11.93,27283,27283,0
1139.1,12.5,27221,27221,0
1204.7,19.64,25563,25563,0
1375.8,20.41,25469,25469,0
834.5,19.18,25452,25452,0
1103.7,19.46,25427,25427,0
574.5,19.47,25027,25027,0
1055.7,15.98,24289,24289,0
315.2,14.97,24261,24261,0
1098.1,5.67,24031,24031,0
1346.7,20.11,23678,23678,0
1286.7,19.55,22913,22913,0
632.5,19.56,22873,22873,0
439.3,11.94,22823,22823,0
665.5,15.15,22764,22764,0
943.6,14.21,22598,22598,0
288.5,15.2,22477,22477,0
970.5,3.05,22209,22209,0
957.7,15.41,22113,22113,0
956.7,19.39,21946,21946,0
522.5,12.04,21841,21841,0
1299.8,19.65,21568,21568,0
620.5,19.38,21482,21482,0
745.5,12.63,21339,21339,0
888.4,15.17,21254,21254,0
795.6,18.43,21117,21117,0
